№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
2809,Столовая,"улица Аксай, 9, Астана",+77086647135,Нет рейтинга,1,8,1400 тнг,Чек 1400 тнг,https://2gis.kz/astana/firm/70000001031084865,cafe_2809.html
2810,Столовая,"улица Шагыл, 10/3, Астана",+77057546285,4.9,48,24,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001064224759,cafe_2810.html
2811,Столовая,"проспект Акжол, 47/1, Астана",+77088371805,Нет рейтинга,3,28,1700 тнг,Чек 1700 тнг,https://2gis.kz/astana/firm/70000001111014678,cafe_2811.html
2812,Doner,"улица Павлова, 15/1, Астана",+77008830000,Нет рейтинга,0,0,Не указано,"Шавермы, До 14 мест, Кофе с собой, Чай с собой",https://2gis.kz/astana/firm/70000001111231533,cafe_2812.html
2813,Столовая,"проспект Акжол, 39, Астана",+77754150297,Нет рейтинга,1,10,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001104076499,cafe_2813.html
2814,Столовая,"1-я Алматинская улица, 45а/1, Астана",Не указано,Нет рейтинга,6,3,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001058932799,cafe_2814.html
2815,Шашлычная,"проспект Акжол, 24д, Астана",+77016467416,4.6,17,13,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001088162162,cafe_2815.html
2816,Киоск фастфуда,"Астана, Астана",+77009005900,3.5,6,1,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001082419836,cafe_2816.html
2817,Лаураның асханасы,"проспект Республики, 56/2, Астана",+77008444570,4.3,4,2,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001027049253,cafe_2817.html
2818,Киоск фастфуда,"улица Бердибек Сокпакбаев, 16/4 киоск, Астана",Не указано,2.9,19,3,1300 тнг,Чек 1300 тнг,https://2gis.kz/astana/firm/70000001102568228,cafe_2818.html
2819,Киоск быстрого питания,"проспект Женис, 49/5, Астана",Не указано,2.8,12,1,1000 тнг,Чек 1000 тнг,https://2gis.kz/astana/firm/70000001089744964,cafe_2819.html
2820,Столовая,"проспект Республики, 58/2 цех 6, Астана",+77470581458,Нет рейтинга,4,3,Не указано,Ланч от 1300 тнг,https://2gis.kz/astana/firm/70000001032311302,cafe_2820.html
2821,the Istanbul,"шоссе Алаш, 15, Астана",+77008444570,Нет рейтинга,30,10,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001065086249,cafe_2821.html
2822,Sushi mol,"улица Окжетпес, 142Б, Астана",+77071014131,Нет рейтинга,64,39,Не указано,"Суши, Пицца, Куриные крылышки",https://2gis.kz/astana/firm/70000001045454780,cafe_2822.html
2823,Киоск быстрого питания,"Астана, Астана",+77008830000,Нет рейтинга,0,0,Не указано,Самса,https://2gis.kz/astana/firm/70000001105617702,cafe_2823.html
2824,Киоск,"улица Жаханша Досмухамедулы, 4/1, Астана",+77008830000,Нет рейтинга,0,3,1499 тнг,Чек 1499 тнг,https://2gis.kz/astana/firm/70000001109627167,cafe_2824.html
2825,Urban,"улица Толе би, 1, Косшы",+77774001507,4.7,145,58,3000 тнг,Чек 3000 тнг,https://2gis.kz/kosshy/firm/70000001055321395,cafe_2825.html
2826,Киоск фастфуда,"улица Жаханша Досмухамедулы, 4/3а киоск, Астана",Не указано,4.1,9,1,Не указано,"Халяльная кухня, До 6 мест",https://2gis.kz/astana/firm/70000001037571405,cafe_2826.html
2827,Столовая,"проспект Акжол, 35/2Б, Астана",Не указано,Нет рейтинга,0,4,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001100819035,cafe_2827.html
2828,Столовая,"улица Коктал, 10/1, Астана",+77053849093,Нет рейтинга,17,12,1200 тнг,Чек 1200 тнг,https://2gis.kz/astana/firm/70000001026882771,cafe_2828.html
2829,Lale,"проспект Туран, 3, Астана",+77770090505,4.9,32,88,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001101565919,cafe_2829.html
2830,Столовая,"проспект Акжол, 51/2, Астана",+77082210102,1.9,2,22,1500 тнг,Чек 1500 тнг,https://2gis.kz/astana/firm/70000001065356465,cafe_2830.html
